,VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type,congestion_surcharge
11,2,2023-01-01 00:08:43,2023-01-01 00:17:08,N,1.0,75,140,1.0,1.99,11.4,1.0,0.5,3.33,0.0,,1.0,19.98,1.0,1.0,2.75
12,2,2023-01-01 00:26:32,2023-01-01 00:45:31,N,1.0,75,148,1.0,7.08,30.3,1.0,0.5,3.0,0.0,,1.0,38.55,1.0,1.0,2.75
13,2,2023-01-01 00:18:35,2023-01-01 00:30:09,N,1.0,66,255,1.0,3.23,17.7,1.0,0.5,4.04,0.0,,1.0,24.24,1.0,1.0,0.0
14,2,2023-01-01 00:39:32,2023-01-01 01:18:06,N,1.0,255,186,1.0,5.91,35.9,1.0,0.5,0.0,0.0,,1.0,41.15,2.0,1.0,2.75
15,1,2023-01-01 00:49:34,2023-01-01 01:08:23,N,1.0,195,210,1.0,11.3,32.5,0.5,1.5,0.0,0.0,,1.0,34.5,2.0,1.0,0.0
16,1,2023-01-01 00:10:45,2023-01-01 00:19:37,N,5.0,83,129,1.0,1.3,15.0,0.0,0.0,0.0,0.0,,0.0,15.0,1.0,2.0,0.0
17,2,2023-01-01 00:35:11,2023-01-01 01:17:35,N,1.0,97,68,1.0,8.28,44.3,1.0,0.5,5.0,0.0,,1.0,54.55,1.0,1.0,2.75
18,2,2023-01-01 00:31:06,2023-01-01 00:42:23,N,1.0,7,260,1.0,2.02,12.8,1.0,0.5,0.0,0.0,,1.0,15.3,2.0,1.0,0.0
19,2,2023-01-01 00:14:37,2023-01-01 00:21:50,N,1.0,41,75,1.0,0.96,8.6,1.0,0.5,0.0,0.0,,1.0,11.1,2.0,1.0,0.0
20,2,2023-01-01 00:26:21,2023-01-01 00:30:26,N,1.0,75,74,1.0,0.96,7.2,1.0,0.5,2.42,0.0,,1.0,12.12,1.0,1.0,0.0
21,2,2023-01-01 00:41:56,2023-01-01 00:46:06,N,1.0,42,42,1.0,0.53,5.8,1.0,0.5,0.0,0.0,,1.0,8.3,2.0,1.0,0.0
22,2,2023-01-01 00:32:02,2023-01-01 00:41:25,N,1.0,41,24,4.0,1.51,11.4,1.0,0.5,0.0,0.0,,1.0,13.9,2.0,1.0,0.0
23,2,2023-01-01 00:55:13,2023-01-01 00:59:47,N,1.0,42,42,3.0,0.88,7.2,1.0,0.5,0.0,0.0,,1.0,9.7,2.0,1.0,0.0
24,2,2023-01-01 00:01:31,2023-01-01 00:16:02,N,1.0,166,244,1.0,2.48,16.3,1.0,0.5,3.76,0.0,,1.0,22.56,1.0,1.0,0.0
25,2,2023-01-01 00:22:31,2023-01-01 00:39:24,N,1.0,255,146,1.0,3.53,19.8,1.0,0.5,4.46,0.0,,1.0,26.76,1.0,1.0,0.0
26,2,2023-01-01 00:57:28,2023-01-01 01:09:31,N,1.0,95,135,1.0,2.25,14.2,1.0,0.5,0.0,0.0,,1.0,16.7,2.0,1.0,0.0
27,2,2023-01-01 00:35:21,2023-01-01 00:53:49,N,1.0,260,173,1.0,2.78,19.1,1.0,0.5,4.32,0.0,,1.0,25.92,1.0,1.0,0.0
28,2,2023-01-01 00:52:52,2023-01-01 01:00:53,N,1.0,134,216,1.0,4.29,18.4,1.0,0.5,4.18,0.0,,1.0,25.08,1.0,1.0,0.0
29,2,2023-01-01 00:32:56,2023-01-01 00:42:53,N,1.0,75,142,1.0,2.53,13.5,1.0,0.5,0.0,0.0,,1.0,18.75,2.0,1.0,2.75
30,1,2023-01-01 00:24:01,2023-01-01 00:32:05,N,1.0,41,238,1.0,1.7,8.0,3.25,1.5,1.0,0.0,,1.0,13.75,1.0,1.0,2.75
31,2,2023-01-01 00:46:48,2023-01-01 01:08:17,N,4.0,95,265,1.0,10.44,47.1,1.0,0.5,9.92,0.0,,1.0,59.52,1.0,1.0,0.0
32,2,2023-01-01 00:40:58,2023-01-01 01:04:32,N,5.0,66,164,4.0,6.78,60.0,0.0,0.0,12.61,0.0,,0.3,75.66,1.0,2.0,2.75
33,2,2023-01-01 00:20:23,2023-01-01 00:24:32,N,1.0,75,74,2.0,1.39,7.9,1.0,0.5,0.0,0.0,,1.0,10.4,2.0,1.0,0.0
34,2,2023-01-01 01:49:24,2023-01-01 01:57:51,N,1.0,223,7,1.0,1.31,10.0,1.0,0.5,2.5,0.0,,1.0,15.0,1.0,1.0,0.0
35,1,2023-01-01 00:41:53,2023-01-01 00:41:58,N,1.0,83,83,1.0,6.7,3.0,1.0,1.5,0.0,0.0,,1.0,5.5,3.0,1.0,0.0
36,2,2023-01-01 00:56:26,2023-01-01 01:14:41,N,1.0,260,95,1.0,3.52,19.1,1.0,0.5,0.0,0.0,,1.0,21.6,2.0,1.0,0.0
37,2,2023-01-01 00:33:10,2023-01-01 00:43:08,N,1.0,130,130,1.0,1.74,11.4,1.0,0.5,2.78,0.0,,1.0,16.68,1.0,1.0,0.0
38,2,2023-01-01 00:58:28,2023-01-01 01:14:46,N,1.0,130,95,1.0,2.31,17.7,1.0,0.5,0.0,0.0,,1.0,20.2,2.0,1.0,0.0
39,2,2023-01-01 00:42:49,2023-01-01 00:51:53,N,1.0,7,223,1.0,1.37,10.7,1.0,0.5,0.0,0.0,,1.0,13.2,2.0,1.0,0.0
